% Mike Stanley's IMU Data Logger
% Date & Time   Thursday 06 January 2011  -  12:50:24 PM
% MagX, AccX and GyroX values are centered at 0 LSB
% Accelerometer Range = +/- 6g
% Gyroscope     Range = +/- 2000 degrees/second
% Magnetometer  Range = +/- 200uT
% Recorder      Michael Stanley
% Comments      Horizontal nudge of IMU
% SampleNumber MagX MagY MagZ AccX AccY AccZ GyroR GyroP GyroY LButton RButton
103 383 -34 586 31 -119 351 -516 -534 -503 0 0 
104 380 -42 587 20 -72 352 -515 -534 -490 0 0 
105 385 -40 588 24 -75 355 -516 -534 -482 0 0 
106 380 -49 588 28 -83 352 -515 -535 -476 0 0 
107 380 -51 587 29 -96 352 -515 -535 -471 0 0 
108 378 -65 587 28 -85 356 -515 -534 -467 0 0 
109 378 -64 587 24 -70 355 -515 -533 -464 0 0 
110 376 -65 587 -13 -39 353 -515 -534 -459 0 0 
111 377 -74 586 -21 -4 353 -515 -535 -455 0 0 
112 374 -78 587 -19 20 351 -516 -534 -454 0 0 
113 370 -88 585 -9 53 352 -516 -534 -460 0 0 
114 367 -86 586 -6 77 353 -515 -535 -467 0 0 
115 370 -85 587 -3 78 347 -516 -536 -474 0 0 
116 366 -89 586 -1 86 357 -515 -535 -484 0 0 
117 366 -87 587 0 100 359 -516 -535 -495 0 0 
118 368 -93 587 0 110 352 -515 -534 -506 0 0 
119 366 -89 587 1 99 356 -515 -534 -517 0 0 
120 368 -90 585 -2 90 354 -516 -533 -529 0 0 
121 367 -87 586 -4 84 354 -515 -534 -536 0 0 
122 367 -87 585 -3 58 355 -516 -534 -540 0 0 
123 369 -93 586 -1 8 354 -516 -534 -542 0 0 
124 368 -87 586 1 2 354 -516 -534 -543 0 0 
125 369 -84 586 1 -2 354 -516 -534 -542 0 0 
126 366 -83 585 1 -8 356 -516 -533 -541 0 0 
127 368 -84 585 4 -11 354 -515 -534 -535 0 0 
128 368 -86 585 3 -2 352 -516 -534 -533 0 0 
129 370 -84 587 3 -1 352 -516 -534 -532 0 0 
130 367 -82 587 3 -1 353 -515 -535 -530 0 0 
131 369 -85 587 2 2 353 -516 -534 -529 0 0 
132 371 -86 585 1 3 353 -515 -534 -529 0 0 
133 367 -90 588 1 3 353 -515 -534 -530 0 0 
134 368 -86 588 1 2 354 -516 -534 -530 0 0 
135 369 -86 584 1 2 353 -516 -534 -529 0 0 
136 371 -91 586 1 1 353 -516 -535 -530 0 0 
137 369 -88 586 1 1 354 -516 -534 -530 0 0 
138 370 -93 586 1 1 354 -515 -534 -530 0 0 
139 367 -97 585 2 2 354 -515 -534 -530 0 0 
140 367 -85 585 2 2 354 -515 -534 -529 0 0 
141 367 -86 586 2 2 354 -515 -534 -529 0 0 
142 368 -85 585 2 2 354 -515 -534 -529 0 0 
143 368 -95 586 1 2 354 -515 -533 -529 0 0 
144 366 -89 586 2 2 355 -516 -534 -529 0 0 
145 366 -89 586 2 2 355 -516 -534 -529 0 0 
146 366 -87 586 2 1 355 -515 -534 -529 0 0 
147 366 -87 585 1 1 355 -515 -533 -530 0 0 
148 368 -85 587 2 1 354 -516 -534 -529 0 0 
149 369 -84 587 2 2 354 -515 -534 -530 0 0 
150 366 -82 587 2 2 353 -515 -534 -530 0 0 
151 367 -78 585 1 3 353 -516 -534 -530 0 0 
152 366 -82 585 1 3 353 -515 -535 -530 0 0 
153 367 -94 586 1 2 353 -515 -534 -529 0 0 
154 368 -89 587 1 2 353 -516 -534 -530 0 0 
155 367 -85 587 1 2 354 -516 -535 -530 0 0 
156 367 -78 587 2 1 353 -516 -534 -529 0 0 
157 370 -81 587 2 1 353 -516 -535 -530 0 0 
158 365 -83 587 2 1 353 -515 -534 -530 0 0 
159 369 -86 587 2 2 353 -515 -534 -530 0 0 
160 372 -87 587 2 2 353 -515 -534 -530 0 0 
161 367 -87 586 2 2 353 -515 -534 -530 0 0 
162 373 -83 587 1 2 353 -515 -534 -529 0 0 
163 367 -81 585 1 2 352 -516 -534 -530 0 0 
164 368 -85 585 1 2 353 -515 -534 -529 0 0 
165 370 -84 585 1 2 353 -516 -534 -529 0 0 
166 367 -85 588 1 1 353 -516 -534 -530 0 0 
167 366 -86 586 1 1 353 -516 -534 -530 0 0 
168 367 -92 585 2 2 354 -515 -534 -530 0 0 
169 366 -90 583 1 2 354 -515 -534 -530 0 0 
170 371 -85 585 2 2 353 -515 -534 -530 0 0 
171 370 -86 587 2 2 353 -516 -534 -529 0 0 
172 366 -83 587 1 2 353 -516 -534 -529 0 0 
173 367 -82 587 1 2 353 -516 -534 -530 0 0 
174 368 -83 587 1 2 353 -516 -534 -530 0 0 
175 369 -87 587 1 1 354 -515 -535 -529 0 0 
176 366 -81 588 2 1 354 -515 -534 -529 0 0 
177 366 -81 586 2 1 354 -515 -534 -529 0 0 
178 368 -90 587 1 2 354 -515 -534 -530 0 0 
179 370 -92 588 2 2 354 -515 -534 -529 0 0 
180 368 -91 584 2 2 353 -516 -535 -530 0 0 
181 366 -87 586 2 2 354 -515 -534 -529 0 0 
182 369 -86 586 2 2 353 -515 -534 -529 0 0 
183 367 -87 588 1 2 354 -516 -534 -530 0 0 
184 368 -89 582 1 2 354 -516 -534 -530 0 0 
185 365 -90 584 1 1 354 -516 -534 -529 0 0 
186 369 -85 586 1 1 354 -516 -534 -529 0 0 
187 369 -87 587 1 2 354 -516 -534 -530 0 0 
188 368 -89 586 1 2 354 -515 -535 -529 0 0 
189 368 -85 585 2 2 354 -516 -534 -530 0 0 
190 367 -84 587 2 2 354 -515 -534 -530 0 0 
191 367 -84 587 2 2 353 -516 -534 -529 0 0 
192 369 -86 586 1 2 353 -516 -534 -529 0 0 
193 366 -93 584 2 2 354 -515 -533 -530 0 0 
194 367 -91 585 2 2 354 -515 -533 -530 0 0 
195 366 -93 587 2 1 354 -516 -534 -529 0 0 
196 367 -93 586 1 1 354 -516 -534 -530 0 0 
197 368 -88 586 1 1 355 -516 -534 -529 0 0 
198 367 -88 586 2 2 354 -516 -535 -530 0 0 
199 367 -91 585 1 2 354 -515 -534 -530 0 0 
200 366 -84 586 2 2 354 -516 -534 -529 0 0 
201 366 -88 586 2 2 354 -516 -534 -530 0 0 
202 369 -89 585 2 2 354 -516 -535 -529 0 0 
203 368 -84 585 1 2 354 -515 -534 -529 0 0 
204 368 -89 586 1 2 354 -516 -534 -530 0 0 
205 368 -83 586 1 2 354 -516 -534 -529 0 0 
206 365 -79 585 1 2 354 -515 -534 -530 0 0 
207 366 -89 585 1 2 354 -516 -535 -529 0 0 
208 366 -93 586 2 2 354 -515 -534 -529 0 0 
209 365 -78 586 2 2 354 -516 -533 -529 0 0 
210 366 -82 586 2 2 354 -516 -534 -529 0 0 
211 364 -84 588 2 2 353 -516 -534 -529 0 0 
212 366 -92 583 2 2 353 -516 -534 -530 0 0 
213 365 -95 586 2 2 353 -515 -534 -530 0 0 
214 368 -94 586 1 2 353 -516 -534 -529 0 0 
215 365 -90 586 1 2 353 -516 -534 -529 0 0 
216 365 -87 584 1 2 354 -516 -534 -529 0 0 
217 367 -87 584 2 2 353 -515 -534 -530 0 0 
218 366 -87 587 2 2 353 -516 -534 -530 0 0 
219 370 -88 585 2 2 353 -516 -534 -530 0 0 
220 366 -82 584 1 3 353 -515 -535 -529 0 0 
221 368 -85 583 1 3 354 -516 -535 -530 0 0 
222 367 -86 587 1 3 353 -515 -535 -530 0 0 
223 364 -85 584 1 2 356 -515 -534 -530 0 0 
224 366 -84 585 1 1 356 -516 -535 -530 0 0 
225 369 -84 586 2 0 355 -516 -535 -530 0 0 
226 365 -87 584 2 -1 356 -516 -534 -530 0 0 
227 365 -89 585 3 0 356 -516 -534 -530 0 0 
228 368 -96 582 3 1 354 -516 -534 -530 0 0 
229 367 -88 587 3 2 354 -515 -534 -530 0 0 
230 366 -87 582 2 4 352 -516 -534 -530 0 0 
231 365 -89 585 1 4 352 -516 -534 -530 0 0 
232 366 -88 585 0 4 353 -515 -534 -529 0 0 
233 365 -95 583 0 3 354 -516 -534 -530 0 0 
234 365 -89 584 0 2 354 -515 -534 -530 0 0 
235 363 -87 584 0 1 354 -515 -534 -530 0 0 
236 363 -90 583 2 -1 355 -515 -534 -529 0 0 
237 368 -90 586 3 0 354 -516 -534 -529 0 0 
238 363 -94 584 3 0 354 -515 -534 -529 0 0 
239 364 -89 585 3 3 353 -515 -534 -530 0 0 
240 364 -87 584 2 3 353 -516 -534 -530 0 0 
241 366 -87 586 1 4 353 -514 -534 -530 0 0 
242 366 -89 585 1 4 353 -516 -534 -530 0 0 
243 364 -89 585 0 3 354 -516 -533 -529 0 0 
244 370 -86 583 0 2 354 -516 -534 -529 0 0 
245 365 -90 585 1 1 355 -515 -534 -529 0 0 
246 365 -90 586 2 0 354 -516 -535 -530 0 0 
247 366 -91 586 3 0 354 -515 -534 -530 0 0 
248 365 -90 584 3 1 354 -516 -534 -529 0 0 
249 362 -94 586 3 2 353 -515 -533 -530 0 0 
250 364 -92 585 3 3 353 -516 -534 -530 0 0 
251 367 -89 584 2 3 353 -515 -534 -529 0 0 
252 365 -93 582 0 3 353 -515 -534 -529 0 0 
253 369 -86 583 0 3 354 -516 -534 -529 0 0 
254 364 -90 584 -1 3 353 -515 -534 -530 0 0 
255 363 -92 583 0 2 354 -516 -534 -530 0 0 
256 363 -89 585 0 1 354 -516 -534 -529 0 0 
257 364 -88 585 1 1 355 -516 -534 -529 0 0 
258 367 -93 586 2 1 355 -515 -534 -529 0 0 
259 364 -94 586 3 1 355 -515 -534 -529 0 0 
260 363 -99 585 4 2 354 -516 -534 -530 0 0 
261 363 -101 585 4 2 354 -515 -535 -529 0 0 
262 363 -91 586 3 2 355 -515 -534 -529 0 0 
263 368 -93 584 2 2 355 -516 -535 -529 0 0 
264 365 -92 584 1 2 355 -515 -535 -529 0 0 
265 364 -99 585 0 2 354 -516 -534 -530 0 0 
266 364 -96 586 0 2 355 -515 -535 -530 0 0 
267 363 -90 583 0 2 355 -516 -534 -529 0 0 
268 367 -90 583 1 2 354 -515 -534 -530 0 0 
269 364 -90 584 2 2 354 -515 -534 -529 0 0 
270 363 -94 586 3 2 354 -515 -535 -530 0 0 
271 365 -91 585 3 2 354 -516 -535 -529 0 0 
272 365 -86 585 3 2 353 -516 -535 -529 0 0 
273 364 -86 584 2 2 353 -515 -534 -530 0 0 
274 364 -90 586 2 2 353 -516 -534 -530 0 0 
275 365 -84 585 0 2 353 -516 -535 -530 0 0 
276 362 -90 586 0 2 353 -515 -534 -530 0 0 
277 365 -87 586 0 2 353 -516 -534 -530 0 0 
278 364 -97 584 1 2 353 -516 -534 -529 0 0 
279 369 -93 585 1 2 354 -516 -534 -530 0 0 
280 364 -93 583 2 2 354 -515 -533 -530 0 0 
281 364 -94 585 3 2 354 -516 -534 -529 0 0 
282 365 -97 584 3 1 354 -515 -534 -529 0 0 
283 367 -93 586 3 1 354 -516 -533 -529 0 0 
284 368 -88 585 2 1 354 -516 -534 -530 0 0 
285 366 -89 585 1 2 354 -515 -534 -529 0 0 
286 363 -88 586 1 2 354 -515 -534 -530 0 0 
287 363 -90 584 0 2 354 -515 -534 -529 0 0 
288 364 -88 584 0 2 354 -515 -535 -529 0 0 
289 365 -84 585 0 2 354 -516 -534 -529 0 0 
290 366 -91 586 1 2 354 -516 -534 -530 0 0 
291 364 -90 585 2 2 354 -516 -534 -529 0 0 
292 364 -88 585 2 2 353 -515 -534 -530 0 0 
293 365 -91 584 3 2 353 -515 -534 -529 0 0 
294 367 -91 584 3 1 354 -515 -533 -529 0 0 
295 365 -95 585 2 1 354 -515 -534 -530 0 0 
296 368 -89 584 2 2 354 -515 -535 -530 0 0 
297 363 -93 583 1 2 354 -516 -535 -530 0 0 
298 366 -100 585 1 2 354 -516 -534 -530 0 0 
299 363 -90 584 1 2 354 -516 -534 -530 0 0 
300 366 -94 584 1 2 353 -515 -534 -529 0 0 
301 363 -89 584 1 2 353 -516 -534 -529 0 0 
302 365 -98 584 2 2 352 -515 -535 -530 0 0 
303 364 -91 584 2 2 353 -516 -534 -530 0 0 
